Clifton Place Garden;289 Grand Avenue;40,687639;-73,962648;11238
Clifton Place Memorial Park & Garden;1031-35 Bedford Avenue;40,688603;-73,954945;11216
Clinton Avenue Block Association;757 East 179th Street;40,845858;-73,888049;10457
Clinton Community Garden;436 West 48th Street;40,762717;-73,991026;10036
College Avenue GreenThumb;1420 College Avenue;40,838033;-73,91027;10456
Colonial Gardeners;304-306 West 150th St;40,826069;-73,939785;10039
Committee of Poor Peoples of the LES Community Garden;171 Stanton Street;40,72017;-73,984289;10002
Concerned Citizens of Grove Street;72-74 Grove Street;40,692238;-73,92181;11221
Concerned Residents of Barbey Street;606 Glenmore Avenue;40,674396;-73,887803;11207
Concerned Residents of Montauk Avenue;214 Montauk Avenue;40,673887;-73,87789;11208
Concerned Tenants of Daly Avenue;2139 Daly Avenue;40,845582;-73,880943;10460
Contented Hart Garden;1475 Bushwick Avenue;40,683411;-73,907424;11207
Cooper Street Block Buster Block Association.;41 Cooper Street;40,684528;-73,910541;11207
Cooper Street Gardeners;34 Cooper Street;40,684311;-73,910725;11207
Corona Taxpayers Association;52-02 102nd  Street;40,741788;-73,859801;11368
Courtlandt Avenue Association;364-366 East 158th Street;40,822689;-73,91614;10451
Creative Little Garden;530 East 6th Street;40,72511;-73,983119;10009
Creston Jungle Playground;2242 Creston Avenue;40,856775;-73,901518;10453
Culinary Kids Garde (Seagirt Community Garden);3003 Seagirt Boulevard.;40,595964;-73,763133;11691
"Curtis ""50 Cent"" Jackson Community Garden";11709 165th Street;40,684574;-73,78111;11434
David Foulke Community Garden;248-250 Bergen Street;40,684364;-73,984438;11217
Davidson Avenue Community Garden;2385 Davidson Avenue;40,861379;-73,903254;10468
De Colores Community Garden;311-313 E 8th Street;40,725296;-73,979821;10009
Decatur Street Community Garden;1052 Decatur Street;40,685985;-73,910265;11207
Demera/Santiago Garden;941-943 Avenue St. John;40,815229;-73,902569;10455
Diamante Garden (Block and School Association);306-310 East 118th Street;40,798107;-73,936371;10035
Dias y Flores;520-522 East 13th Street;40,729306;-73,979885;10009
Dorothy K. McGowan Memorial Garden;513 W 158th Street;40,833766;-73,942217;10032
Dream Street Park;223 - 231 E. 124 St.;40,802742;-73,935612;10035
